Type_of_Security,spread,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
20yr TBA Eligible,-3.0329050632911394,0.0030145734545478963,0.0011999934000583856,0.004263959425154784,4732
20yr TBA Eligible,-2.9875316455696206,0.0025375233926791547,0.0011999934000583856,0.00345005820238109,4732
20yr TBA Eligible,-2.9421582278481013,0.0021930675529870797,0.0011999934000583856,0.0028853878182744097,4732
20yr TBA Eligible,-2.8967848101265825,0.0019511595497921541,0.0011999934000583856,0.0024856834366260294,4732
20yr TBA Eligible,-2.8514113924050637,0.0017770564080290185,0.0011999934000583856,0.0021194849797123716,4732
20yr TBA Eligible,-2.8060379746835444,0.0016462456827162843,0.0011999934000583856,0.001862851959544276,4732
20yr TBA Eligible,-2.760664556962025,0.0015478401593812298,0.0011999934000583856,0.0016114190548699447,4732
20yr TBA Eligible,-2.7152911392405064,0.0014768732510550037,0.0011999934000583856,0.0014545487897477116,4732
20yr TBA Eligible,-2.6699177215189875,0.001423927878981834,0.0011999934000583856,0.0013120335920269177,4732
20yr TBA Eligible,-2.6245443037974683,0.0013850123237659417,0.0011999934000583856,0.0012222259752170395,4732
20yr TBA Eligible,-2.5791708860759495,0.0013569277145958432,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.5337974683544306,0.0013370822366555065,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.4884240506329114,0.0013242595777935627,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.443050632911392,0.0013170190763016924,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.3976772151898733,0.0013143014739505755,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.3523037974683545,0.0013156902971226726,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.3069303797468352,0.0013214871088906093,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.2615569620253164,0.0013314910917939693,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.2161835443037976,0.0013464531075133446,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.1708101265822783,0.001366890707614175,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.125436708860759,0.001393232772640815,0.0011999934000583856,0.0011999934000583856,4732
20yr TBA Eligible,-2.0800632911392403,0.0014263890483093,0.0011999934000583856,0.001206116805319013,4732
20yr TBA Eligible,-2.0346898734177215,0.0014681052036891254,0.0011999934000583856,0.0012949419336605317,4732
