Type_of_Security,spread,predicted_cpr_mean,dCPR_dspread
20yr TBA Eligible,-1.0818481012658223,0.013301883924575476,0.049726495650566374
20yr TBA Eligible,-1.036474683544303,0.015776053153513218,0.060519576028242456
20yr TBA Eligible,-0.9911012658227842,0.01879384393149282,0.07430624491809287
20yr TBA Eligible,-0.9457278481012654,0.02251910973348544,0.0916346052149773
20yr TBA Eligible,-0.9003544303797462,0.02710939437182413,0.11328381327976828
20yr TBA Eligible,-0.8549810126582273,0.032799257295544414,0.14060283508626487
20yr TBA Eligible,-0.8096075949367081,0.03986865671022204,0.17461903988764432
20yr TBA Eligible,-0.7642341772151893,0.04864538257344977,0.21478244654586537
20yr TBA Eligible,-0.71886075949367,0.059359484042972824,0.2551279498046618
20yr TBA Eligible,-0.6734873417721512,0.07179743665129307,0.29270508148515295
20yr TBA Eligible,-0.6281139240506324,0.08592154390584691,0.3303333381479264
20yr TBA Eligible,-0.5827405063291131,0.1017741417295524,0.3716440856352342
20yr TBA Eligible,-0.5373670886075943,0.11964706858836585,0.41829415647976664
20yr TBA Eligible,-0.49199367088607504,0.13973301271440622,0.467871201624088
20yr TBA Eligible,-0.4466202531645562,0.16210489953068344,0.4913013645730713
20yr TBA Eligible,-0.4012468354430374,0.18431705679825858,0.49344584768026944
20yr TBA Eligible,-0.35587341772151815,0.20688354867017528,0.4816190273483705
20yr TBA Eligible,-0.31049999999999933,0.2280224594192772,0.46588755731038045
30yr TBA Eligible,-3.9730000000000003,0.464304896214154,-0.31259661261801946
30yr TBA Eligible,-3.907715189873418,0.44389708571317377,-0.35392494767121807
30yr TBA Eligible,-3.8424303797468355,0.4180930501986019,-0.39429315582045676
30yr TBA Eligible,-3.7771455696202536,0.3924143780892749,-0.39012978650930563
30yr TBA Eligible,-3.7118607594936712,0.36715395212463386,-0.378665716133713
30yr TBA Eligible,-3.646575949367089,0.3429721393308033,-0.36253526257234014
30yr TBA Eligible,-3.5812911392405065,0.31981786056218203,-0.339773802442203
30yr TBA Eligible,-3.5160063291139245,0.2986080029739511,-0.30804670788319877
30yr TBA Eligible,-3.450721518987342,0.2795963188936354,-0.28097631628908193
30yr TBA Eligible,-3.3854367088607598,0.2619210320559526,-0.2607566009490283
30yr TBA Eligible,-3.3201518987341774,0.24554942852921474,-0.23728864991510457
