month,cf_down,cf_base,cf_up
189,0.23376774112231932,0.08362060731496893,0.012864232111374503
190,0.2366523508076279,0.08579773031494477,0.014012341524225237
191,0.2342993341196385,0.0815650342055879,0.013765986487703247
192,0.23601785591794477,0.08529720469710328,0.013274251819484854
193,0.22931028452161442,0.079321115456651,0.011582434364106657
194,0.23048691669957505,0.07768211017489295,0.011084461406781623
195,0.22716908930157612,0.07750008875708383,0.012484978671450871
196,0.21880449651637643,0.07427112184892097,0.01232958959233204
197,0.22073615676047367,0.07454287311908957,0.012664083255172359
198,0.21494277207615847,0.07221390913009046,0.012779471663163339
199,0.21690618413582963,0.07228592869604465,0.011559735720086391
200,0.2109800223799516,0.07137370284223449,0.011774246113892103
201,0.20752784142499792,0.06861845522968647,0.011057094136344854
202,0.20864810056000757,0.07071390801949752,0.011693269459224932
203,0.20833081617926488,0.06996302164893319,0.010988490673249007
204,0.20697441996081353,0.0679807531121834,0.010561638494758946
205,0.20623170546393577,0.06791725063144076,0.0107740451150023
206,0.20810614239710767,0.06505174664219207,0.010463405466640744
207,0.20290082640981014,0.06308885902508586,0.008984855197179693
208,0.20175013410323078,0.06407172651867271,0.008438942340112394
209,0.19727788078086683,0.061307971421359846,0.007985535598680944
210,0.19174539510750688,0.0571513592514962,0.00731490199712963
211,0.18566485172255712,0.05382475469648838,0.006702008173180822
212,0.18700493203221652,0.052854833434860964,0.006674860144798516
213,0.1864116654912258,0.05190713093131497,0.006705306700589584
214,0.17670299543049717,0.05144788675511076,0.006710468494472156
215,0.1767185139772917,0.053348410913988,0.007087749237467089
216,0.17496927901169998,0.05203922388410413,0.007087817683508718
217,0.16997935935210087,0.050738474523247576,0.007142921416982146
218,0.16871608762535106,0.050839669543735276,0.007244098018016032
219,0.16788329218907108,0.05057774557712824,0.007117450749226206
220,0.16759029027656805,0.05067819396488506,0.007403758080001719
221,0.1658302273886537,0.04953729832864817,0.006789799017514861
222,0.16601271261904665,0.0495971538990089,0.006330911643703924
223,0.16523285585100542,0.0487097269637454,0.0060645815025489845
224,0.16481663851972164,0.04953509595641829,0.006473480571790851
225,0.16405005247722684,0.048044167014879985,0.006143990716952977
226,0.16376977557142958,0.04834829795055833,0.006233560421555177
227,0.1616209103580662,0.046665171323724546,0.005432931169601169
228,0.16043793025320233,0.04678499826356397,0.005456825902437285
229,0.15966775794907184,0.04655545600565814,0.005060083278169164
230,0.15884820894347607,0.046417394258970165,0.005177262810099815
231,0.1626460936450958,0.05004946273919412,0.005806871727869595
232,0.1649312106185496,0.05120551006347488,0.005757442629093743
233,0.16788609664910356,0.05397519438332194,0.006150416059048503
234,0.17082356514396344,0.053683020267208774,0.0057595283044697574
235,0.17270989471807863,0.05453139129360604,0.005700773563652364
236,0.17786758765366636,0.05364391074806235,0.004852321523367737
237,0.17466968516348483,0.049793215608843054,0.004448942523290927
238,0.16775477882549125,0.04642225046173125,0.004319902054050597
239,0.16402220038004414,0.044666196716755986,0.00401617731137292
240,0.15927395510279013,0.0421581362650098,0.0038251492509203972
241,0.15650418914029166,0.04164105315656552,0.003842064084085632
242,0.15620856669825456,0.04104828038088913,0.003708400392766147
243,0.15456087839780308,0.03998257879748745,0.003656764853197667
244,0.15471253793786713,0.039468220052152475,0.003932510641822811
245,0.1517412797404004,0.03852556328736483,0.003985560915544104
246,0.14935590232441778,0.03768337898876501,0.004144865588652009
247,0.14844601360396145,0.03707052418197855,0.0037289147512290523
248,0.14877307391964456,0.03861092036500251,0.004676162666845025
249,0.14767253032978844,0.03826952260380657,0.004725057109577617
250,0.14716597555377703,0.03938131875850096,0.0053381732635875085
251,0.14801505894689365,0.038921464632291305,0.004828336974098415
252,0.1468372530835558,0.03955073579172682,0.00510236912552075
253,0.14903322961330967,0.04042348965629038,0.0049160562386328386
254,0.1472384030508036,0.04037028001585521,0.005090729158878905
255,0.146381679607924,0.03944380166631248,0.00425834617963756
256,0.145297756864793,0.03676193275687703,0.0032170909831653965
257,0.1436213165057989,0.035713188703157775,0.0029908070293033703
258,0.14129450212152914,0.0352894810126012,0.002959236728220143
259,0.14265518568213728,0.03536852141156798,0.0028791440314832367
260,0.14123499252992733,0.0348467725939239,0.0028366839310816185
261,0.14052429294081029,0.03530166015859316,0.0031396326480637947
262,0.1414765139942213,0.036211476150705774,0.0031929975938005044
263,0.1415243701338229,0.03550950702397449,0.002885558898926883
264,0.14285860431508363,0.03593851378600042,0.0028781669219174943
265,0.14158538803562673,0.03517188964158489,0.0029198834881499
266,0.14110497745871783,0.03571789090464549,0.0031418481000202434
267,0.1402474691200725,0.035248948540820974,0.0032471611964177854
268,0.1401391151200068,0.03519341742651806,0.0032934023044955143
269,0.13815445272880025,0.03407040483600044,0.003028036272716173
270,0.13725301258119305,0.033808628917793425,0.002940807468157763
271,0.13869748246999847,0.03413507213857876,0.0028685437311399636
272,0.1378007099929134,0.03407163911290878,0.0027454688987502813
273,0.13848077623494903,0.034244572086088526,0.002781448067656921
274,0.13647464641256143,0.03362617261222159,0.0027955175257526692
275,0.13489456322057156,0.03302922610531244,0.002694920498129368
276,0.1361659709972372,0.033281260670942066,0.002589669111209837
277,0.1348683115016039,0.03209678680366203,0.0025326422072422076
278,0.13200908293599706,0.031669758492693656,0.0025681490298070653
279,0.1314663501165605,0.03173232425624202,0.0026096899095704304
280,0.1320361035658251,0.030857168723217854,0.002301773665810814
281,0.1298147984025305,0.02964657982032802,0.0021675008966707573
282,0.12726166977828005,0.029238411543767436,0.0022143010927133736
283,0.12657768543992118,0.02953101960568428,0.002283403061727548
284,0.12558891090450194,0.02887327807583984,0.0021701258747892104
285,0.1242320522030423,0.028156951801816595,0.0021153843529426956
286,0.12130574976203606,0.027133334169321774,0.0019663990918963813
287,0.12176906537870193,0.027590277911421972,0.0020504697001248527
288,0.12159842850097136,0.02790760005748726,0.0021178038975223747
289,0.12078303559170782,0.028151911201256295,0.0022058658814077593
290,0.11978319171118011,0.027559108745932866,0.0021034516718939594
