month,beg_balance,interest,scheduled_principal,prepay_principal,total_principal,total_cashflow,end_balance
48,0.8346487362369838,0.003477703067654099,0.0033980296358084947,0.000862020884109379,0.004260050519917874,0.007737753587571973,0.8303886857170659
49,0.8303886857170659,0.0034599528571544413,0.0034157798463081523,0.0008925135697026718,0.004308293416010824,0.007768246273165266,0.8260803923010551
50,0.8260803923010551,0.0034420016345877297,0.003433731068874864,0.0008696961385368947,0.004303427207411758,0.007745428841999488,0.8217769650936434
51,0.8217769650936434,0.0034240706878901806,0.003451662015572413,0.0008500176599516821,0.004301679675524095,0.007725750363414276,0.8174752854181193
52,0.8174752854181193,0.003406147022575497,0.0034695856808870966,0.0007078701853090514,0.004177455866196148,0.007583602888771645,0.8132978295519232
53,0.8132978295519232,0.0033887409564663466,0.003486991746996247,0.0006307303155860036,0.004117722062582251,0.0075064630190485974,0.809180107489341
54,0.809180107489341,0.0033715837812055872,0.0035041489222570063,0.000605400562556536,0.004109549484813542,0.0074811332660191295,0.8050705580045274
55,0.8050705580045274,0.0033544606583521975,0.003521272045110396,0.0005532997084463489,0.004074571753556745,0.007429032411908942,0.8009959862509707
56,0.8009959862509707,0.003337483276045711,0.0035382494274168825,0.0005864298350517726,0.004124679262468655,0.007462162538514366,0.7968713069885021
57,0.7968713069885021,0.0033202971124520917,0.003555435591010502,0.0007069456920842194,0.004262381283094721,0.007582678395546813,0.7926089257054073
58,0.7926089257054073,0.003302537190439197,0.0035731955130233967,0.000778974899844447,0.004352170412867844,0.007654707603307041,0.7882567552925395
59,0.7882567552925395,0.0032844031470522475,0.003591329556410346,0.0006813610255620928,0.004272690581972439,0.007557093729024687,0.783984064710567
60,0.783984064710567,0.0032666002696273627,0.003609132433835231,0.0007568442728041484,0.0043659767066393795,0.007632576976266742,0.7796180880039276
61,0.7796180880039276,0.003248408700016365,0.0036273240034462285,0.0007343081801178217,0.00436163218356405,0.007610040883580416,0.7752564558203636
62,0.7752564558203636,0.0032302352325848482,0.0036454974708777454,0.0007154397232886269,0.004360937194166373,0.007591172426751221,0.7708955186261972
63,0.7708955186261972,0.0032120646609424884,0.003663668042520105,0.0006278513076535568,0.004291519350173662,0.00750358401111615,0.7666039992760235
64,0.7666039992760235,0.0031941833303167646,0.003681549373145829,0.0005680473810113147,0.0042495967541571434,0.007443780084473908,0.7623544025218664
65,0.7623544025218664,0.003176476677174443,0.0036992560262881506,0.0004936410025786815,0.004192897028866832,0.007369373706041274,0.7581615054929995
66,0.7581615054929995,0.003159006272887498,0.0037167264305750956,0.0004669991819785752,0.004183725612553671,0.007342731885441169,0.7539777798804459
67,0.7539777798804459,0.0031415740828351912,0.0037341586206274023,0.0003739930377463041,0.004108151658373706,0.0072497257412088975,0.7498696282220721
68,0.7498696282220721,0.003124456784258634,0.0037512759192039596,0.0005348157150210043,0.004286091634224964,0.007410548418483598,0.7455835365878472
69,0.7455835365878472,0.0031065980691160297,0.003769134634346564,0.000467933888550646,0.00423706852289721,0.007343666592013239,0.74134646806495
70,0.74134646806495,0.0030889436169372914,0.003786789086525302,0.0004623115741795304,0.0042491006607048324,0.007338044277642124,0.7370973674042451
71,0.7370973674042451,0.0030712390308510213,0.0038044936726115723,0.00047023355169837754,0.00427472722430995,0.007345966255160971,0.7328226401799351
72,0.7328226401799351,0.0030534276674163965,0.003822305036046197,0.0004722745422924672,0.004294579578338664,0.0073480072457550605,0.7285280606015965
73,0.7285280606015965,0.0030355335858399854,0.003840199117622608,0.0004757628544759168,0.004315961972098525,0.007351495557938511,0.724212098629498
74,0.724212098629498,0.0030175504109562416,0.003858182292506352,0.00043031861774151496,0.004288500910247867,0.007306051321204109,0.7199235977192501
75,0.7199235977192501,0.002999681657163542,0.0038760510462990515,0.000383576006251688,0.00425962705255074,0.007259308709714282,0.7156639706666993
76,0.7156639706666993,0.002981933211111247,0.0038937994923513466,0.00035483009300306726,0.004248629585354414,0.00723056279646566,0.7114153410813449
