Type_of_Security,spread,model_name,curve_family,slice_name,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
20yr TBA Eligible,1.764187426160353,M1,loan_age_slice,median_loan_age,1.255145682391797,1.1126830811251542,1.3943242642206255,10423
20yr TBA Eligible,1.834539831223644,M1,loan_age_slice,median_loan_age,1.2800799421652895,1.1350532164031146,1.4217831256149616,10423
20yr TBA Eligible,1.904892236286936,M1,loan_age_slice,median_loan_age,1.2983954676366258,1.1523291822745363,1.4402888198904007,10423
20yr TBA Eligible,1.9752446413502271,M1,loan_age_slice,median_loan_age,1.3093925141934684,1.1637077388507389,1.4492873919867644,10423
20yr TBA Eligible,2.0455970464135182,M1,loan_age_slice,median_loan_age,1.3124788558182257,1.1691114982293471,1.4480714823045915,10423
20yr TBA Eligible,2.1159494514768102,M1,loan_age_slice,median_loan_age,1.3071981434191677,1.167799864860286,1.4376603567853419,10423
20yr TBA Eligible,2.1863018565401013,M1,loan_age_slice,median_loan_age,1.2932558344647358,1.1613567747573383,1.4161124820682103,10423
20yr TBA Eligible,2.2566542616033924,M1,loan_age_slice,median_loan_age,1.2705411031720701,1.1460861863609284,1.386519739603076,10423
20yr TBA Eligible,2.327006666666685,M1,loan_age_slice,median_loan_age,1.2391431697394353,1.1236250003503923,1.3440282310160367,10423
30yr TBA Eligible,-3.3229999999999995,M1,loan_age_slice,high_loan_age,0.2282238302039444,0.19439631086867193,0.2608314664576228,30563
30yr TBA Eligible,-3.2278797468354425,M1,loan_age_slice,high_loan_age,0.2129731624445909,0.18550489410269488,0.23979242834850645,30563
30yr TBA Eligible,-3.1327594936708856,M1,loan_age_slice,high_loan_age,0.20051586398176627,0.17809321759232333,0.222644750553469,30563
30yr TBA Eligible,-3.0376392405063286,M1,loan_age_slice,high_loan_age,0.1903914117630675,0.1720554364109117,0.20916392518190996,30563
30yr TBA Eligible,-2.9425189873417716,M1,loan_age_slice,high_loan_age,0.1822397614092706,0.16719325777137528,0.19864415202290875,30563
30yr TBA Eligible,-2.8473987341772147,M1,loan_age_slice,high_loan_age,0.17577838024884454,0.16291044071315985,0.1901510703367304,30563
30yr TBA Eligible,-2.7522784810126577,M1,loan_age_slice,high_loan_age,0.17078510065556124,0.15932258303047453,0.18352672530298486,30563
30yr TBA Eligible,-2.6571582278481007,M1,loan_age_slice,high_loan_age,0.16708521305249469,0.1567134455110586,0.17859651126556075,30563
30yr TBA Eligible,-2.5620379746835438,M1,loan_age_slice,high_loan_age,0.16454167077997367,0.15470440949256759,0.17537643664264913,30563
30yr TBA Eligible,-2.466917721518987,M1,loan_age_slice,high_loan_age,0.16304759467480495,0.1536683800182681,0.17267476062166054,30563
30yr TBA Eligible,-2.37179746835443,M1,loan_age_slice,high_loan_age,0.16252048695255253,0.1539676598356743,0.1716264329456152,30563
30yr TBA Eligible,-2.2766772151898733,M1,loan_age_slice,high_loan_age,0.1628977209116718,0.15505323217207545,0.1715343819706172,30563
30yr TBA Eligible,-2.181556962025316,M1,loan_age_slice,high_loan_age,0.16413298479930863,0.15651722672075374,0.17234534625578668,30563
30yr TBA Eligible,-2.0864367088607594,M1,loan_age_slice,high_loan_age,0.1661934383645319,0.1582824466069055,0.1752900213119024,30563
30yr TBA Eligible,-1.9913164556962022,M1,loan_age_slice,high_loan_age,0.16905739846329418,0.1608778194456928,0.17855836965503524,30563
30yr TBA Eligible,-1.8961962025316452,M1,loan_age_slice,high_loan_age,0.17271241203590132,0.16407402196265686,0.18227340499951117,30563
30yr TBA Eligible,-1.8010759493670883,M1,loan_age_slice,high_loan_age,0.17715360540340402,0.1683132847934532,0.18708620979602797,30563
30yr TBA Eligible,-1.7059556962025313,M1,loan_age_slice,high_loan_age,0.1823822213674983,0.1732363531133485,0.19280862645536523,30563
30yr TBA Eligible,-1.6108354430379743,M1,loan_age_slice,high_loan_age,0.18840427240182878,0.1789143461253362,0.19905381360599828,30563
30yr TBA Eligible,-1.5157151898734174,M1,loan_age_slice,high_loan_age,0.19522925102875444,0.1853936520890942,0.2062578023971695,30563
30yr TBA Eligible,-1.4205949367088604,M1,loan_age_slice,high_loan_age,0.20286884860353316,0.19267325786982425,0.21441940060004105,30563
30yr TBA Eligible,-1.3254746835443034,M1,loan_age_slice,high_loan_age,0.21133564220640486,0.2007768887204664,0.2233063355096765,30563
30yr TBA Eligible,-1.2303544303797467,M1,loan_age_slice,high_loan_age,0.22064171699834398,0.20963892243670568,0.2329507664927455,30563
30yr TBA Eligible,-1.1352341772151897,M1,loan_age_slice,high_loan_age,0.23079719890873604,0.21921054411478957,0.24349364610135593,30563
30yr TBA Eligible,-1.0401139240506327,M1,loan_age_slice,high_loan_age,0.24180868045843362,0.22973903222452963,0.2551507875437564,30563
30yr TBA Eligible,-0.9449936708860758,M1,loan_age_slice,high_loan_age,0.2536775313425754,0.24113797208691334,0.2677640410471027,30563
