Type_of_Security,spread,model_name,curve_family,slice_name,predicted_cpr_mean,predicted_cpr_p25,predicted_cpr_p75,n_obs
15yr TBA Eligible,2.1686329113924048,M1,overall,all,1.0686209848373593,0.8158952817165388,1.289533626188133,46150
15yr TBA Eligible,2.2425886075949366,M1,overall,all,1.0912305291659818,0.8528800070752629,1.3002515117909619,46150
15yr TBA Eligible,2.3165443037974685,M1,overall,all,1.115388717959293,0.8958707049131265,1.3091843809913684,46150
15yr TBA Eligible,2.3905000000000003,M1,overall,all,1.1416784518149092,0.9452600069878581,1.3170563707814775,46150
20yr TBA Eligible,-3.230833333333334,M1,overall,all,0.14391206126435602,0.08457636986455297,0.19456730815751166,31747
20yr TBA Eligible,-3.1604809282700423,M1,overall,all,0.13634792266082837,0.08764622299110014,0.17966430357290175,31747
20yr TBA Eligible,-3.0901285232067512,M1,overall,all,0.13035464380524794,0.09075355965266763,0.16732787591063336,31747
20yr TBA Eligible,-3.0197761181434597,M1,overall,all,0.12561936992779962,0.0935248278851386,0.1568716357099431,31747
20yr TBA Eligible,-2.9494237130801686,M1,overall,all,0.12190139377639411,0.09597875439927295,0.1476494824225849,31747
20yr TBA Eligible,-2.879071308016877,M1,overall,all,0.11901423477721469,0.09818256610996112,0.14011993046582072,31747
20yr TBA Eligible,-2.8087189029535855,M1,overall,all,0.11681265396415653,0.10024935880694752,0.13351665487035813,31747
20yr TBA Eligible,-2.7383664978902944,M1,overall,all,0.11518315134855699,0.10163453896103736,0.12750838445300117,31747
20yr TBA Eligible,-2.668014092827003,M1,overall,all,0.11403694332695281,0.10323128811347004,0.12366367548615198,31747
20yr TBA Eligible,-2.5976616877637118,M1,overall,all,0.1133047224995742,0.10585876241170356,0.1217760752659447,31747
20yr TBA Eligible,-2.52730928270042,M1,overall,all,0.11293271015574062,0.10586253751422303,0.12026595035082854,31747
20yr TBA Eligible,-2.456956877637129,M1,overall,all,0.1128796547454068,0.10651290750341436,0.11947073765552485,31747
20yr TBA Eligible,-2.3866044725738376,M1,overall,all,0.11311452895327605,0.10714297243574755,0.11904199514490843,31747
20yr TBA Eligible,-2.316252067510546,M1,overall,all,0.11361474746444436,0.10681040517342977,0.11891663669891805,31747
20yr TBA Eligible,-2.245899662447255,M1,overall,all,0.11436477647332441,0.1069260329078614,0.11977249611427876,31747
20yr TBA Eligible,-2.1755472573839634,M1,overall,all,0.11535504071915081,0.10760118107984162,0.1211000590284006,31747
20yr TBA Eligible,-2.105194852320672,M1,overall,all,0.11658105860380323,0.10855962212668047,0.12244885087370205,31747
20yr TBA Eligible,-2.0348424472573807,M1,overall,all,0.11804275369244797,0.10984393269458659,0.12399334438010223,31747
20yr TBA Eligible,-1.9644900421940894,M1,overall,all,0.1197439036466498,0.11147132093280998,0.12579962681031898,31747
20yr TBA Eligible,-1.8941376371307979,M1,overall,all,0.1216916968127791,0.11338630891150059,0.12777461105552002,31747
20yr TBA Eligible,-1.8237852320675065,M1,overall,all,0.12389637328910752,0.11561092772712778,0.1299593549930811,31747
20yr TBA Eligible,-1.7534328270042152,M1,overall,all,0.126370932038256,0.1183379152594588,0.13220049720509275,31747
20yr TBA Eligible,-1.6830804219409239,M1,overall,all,0.1291308890152907,0.12152268395830834,0.13534884228276756,31747
20yr TBA Eligible,-1.6127280168776326,M1,overall,all,0.13219407372595746,0.12512101714915458,0.13899603234346358,31747
20yr TBA Eligible,-1.5423756118143412,M1,overall,all,0.13558045340094962,0.12826205937608304,0.1433234682503559,31747
20yr TBA Eligible,-1.4720232067510497,M1,overall,all,0.13931197529311967,0.1313146973711654,0.1477097045814002,31747
20yr TBA Eligible,-1.4016708016877584,M1,overall,all,0.14341241865628462,0.13446007076890476,0.15267117933726038,31747
20yr TBA Eligible,-1.331318396624467,M1,overall,all,0.14790724890233115,0.13860164880091785,0.15805755116091724,31747
20yr TBA Eligible,-1.2609659915611757,M1,overall,all,0.15282346739915106,0.1422106957119973,0.16441658476515908,31747
20yr TBA Eligible,-1.1906135864978844,M1,overall,all,0.1581894515019417,0.14451582750332204,0.17092471318986835,31747
20yr TBA Eligible,-1.1202611814345929,M1,overall,all,0.16403478084148665,0.1476340319112146,0.1783072835864985,31747
20yr TBA Eligible,-1.0499087763713018,M1,overall,all,0.1703900477655632,0.15153517442040298,0.18672040613877394,31747
20yr TBA Eligible,-0.9795563713080102,M1,overall,all,0.17728665228939802,0.15594257177711235,0.19680834655576573,31747
20yr TBA Eligible,-0.9092039662447187,M1,overall,all,0.1847565851061596,0.16066619777667102,0.20778810929306113,31747
20yr TBA Eligible,-0.8388515611814276,M1,overall,all,0.1928322062878652,0.1659575760203924,0.21969590107775439,31747
20yr TBA Eligible,-0.768499156118136,M1,overall,all,0.20154603241188795,0.17158257393294907,0.23206752303710498,31747
20yr TBA Eligible,-0.6981467510548449,M1,overall,all,0.2109305511066566,0.1774502694287472,0.2448472246818656,31747
20yr TBA Eligible,-0.6277943459915534,M1,overall,all,0.22101808952643018,0.18400685443488163,0.2586745176450189,31747
20yr TBA Eligible,-0.5574419409282618,M1,overall,all,0.23184077211351575,0.19136485118521618,0.2728511969521952,31747
20yr TBA Eligible,-0.4870895358649707,M1,overall,all,0.24343061322353216,0.19948028502163595,0.2880356114722704,31747
20yr TBA Eligible,-0.4167371308016792,M1,overall,all,0.25581980177705654,0.2084166608977145,0.30393759228081185,31747
20yr TBA Eligible,-0.3463847257383881,M1,overall,all,0.26904124803354124,0.21835324368533193,0.32051672578486956,31747
20yr TBA Eligible,-0.27603232067509653,M1,overall,all,0.2831294768335814,0.22934609355502733,0.337718761970085,31747
20yr TBA Eligible,-0.205679915611805,M1,overall,all,0.2981219672390221,0.24166214937634267,0.35547420726211865,31747
20yr TBA Eligible,-0.13532751054851389,M1,overall,all,0.31406105554579083,0.2552249376016613,0.37369703917859987,31747
20yr TBA Eligible,-0.06497510548522234,M1,overall,all,0.33099653749781865,0.27052899249362383,0.392283606824928,31747
20yr TBA Eligible,0.005377299578068762,M1,overall,all,0.3489891269003996,0.28755140266740753,0.41125224270601723,31747
20yr TBA Eligible,0.07572970464136031,M1,overall,all,0.3681149529783154,0.30671378496431867,0.4303295934494522,31747
20yr TBA Eligible,0.1460821097046514,M1,overall,all,0.388471309809887,0.3287016613565008,0.44917556383450297,31747
20yr TBA Eligible,0.21643451476794295,M1,overall,all,0.4101839111670931,0.3528390674782056,0.4675400240745753,31747
20yr TBA Eligible,0.2867869198312345,M1,overall,all,0.4334159577848965,0.37919408926115894,0.48390325199132445,31747
20yr TBA Eligible,0.3571393248945256,M1,overall,all,0.45837578628908643,0.4092744536911219,0.5005265400434777,31747
20yr TBA Eligible,0.42749172995781715,M1,overall,all,0.48528850521088907,0.44573191914325516,0.5238855635894657,31747
20yr TBA Eligible,0.49784413502110825,M1,overall,all,0.5143813290636676,0.4828473965146185,0.5486919390276124,31747
20yr TBA Eligible,0.5681965400843998,M1,overall,all,0.5458820716964323,0.5167858756591315,0.5765061775185987,31747
20yr TBA Eligible,0.6385489451476913,M1,overall,all,0.5800052827575087,0.5411634110645047,0.6083032383419895,31747
20yr TBA Eligible,0.7089013502109824,M1,overall,all,0.6169358872748635,0.5692448145596218,0.6524158171261063,31747
20yr TBA Eligible,0.779253755274274,M1,overall,all,0.6568104165758711,0.5915878058587398,0.7113705757946898,31747
20yr TBA Eligible,0.8496061603375651,M1,overall,all,0.6996959944127789,0.6116553146068182,0.7772149271433659,31747
20yr TBA Eligible,0.9199585654008571,M1,overall,all,0.7455675529281923,0.6300258297294858,0.8487118113957748,31747
20yr TBA Eligible,0.9903109704641482,M1,overall,all,0.7942841742636888,0.6473524208027603,0.9266766842058849,31747
20yr TBA Eligible,1.0606633755274393,M1,overall,all,0.8455659720713975,0.6639463457924433,1.0135916404110046,31747
20yr TBA Eligible,1.1310157805907304,M1,overall,all,0.8989735070754797,0.682108759720701,1.0998310263037658,31747
20yr TBA Eligible,1.2013681856540224,M1,overall,all,0.9538923092147089,0.7006221642092414,1.1917364378680073,31747
20yr TBA Eligible,1.2717205907173135,M1,overall,all,1.0095310377773037,0.7212389960408239,1.2822192721085313,31747
20yr TBA Eligible,1.3420729957806046,M1,overall,all,1.0650071032989574,0.7403112414111179,1.3706255400902756,31747
20yr TBA Eligible,1.4124254008438966,M1,overall,all,1.119389631218944,0.7630835689525384,1.4537465422263696,31747
