period,Date,Type_of_Security,spread,SMM_monthly,Cumulative_SMM,actual_cpr_pct,reported_cpr_pct,log_UPB,log_UPB_z,coupon,duration,Cohort_Current_UPB,n_raw_rows
2023-02,20230228,15yr TBA Eligible,-2.6166955312877342,8.771146233334746e-05,0.0011714503564639587,0.1052029938583332,0.10518080260585093,29.898490453067136,1.0989379579953877,2.798304468712264,35.99974887648319,9654936482454.98,1200
2023-03,20230302,15yr TBA Eligible,-2.997866944285967,0.00019871564865626677,0.002510114236587372,0.2381983307418456,0.23823739820617917,27.259814630102547,-0.10189082195014984,2.7981330557140334,36.03651256937253,689901471974.02,86
2019-01,20190131,20yr TBA Eligible,-0.14343661757455894,0.00019643928878736045,0.0017585423027601523,0.23547262983559802,0.23532855951668216,27.85648596168332,0.16964693228811809,3.9485633824254425,48.03289626597809,1252904988411.99,428
2019-02,20190228,20yr TBA Eligible,-0.034368837683702136,0.00022397545843745232,0.00199943436364379,0.2684397081469836,0.26834826238410614,27.86148662917661,0.1719226743071343,3.9556311623162976,48.7201931203646,1259186041299.21,446
2019-03,20190329,20yr TBA Eligible,0.057604090893444315,0.00027816906133464167,0.0026668531604436656,0.33329265186097246,0.333152893837225,27.961162175261084,0.21728378435836673,3.9576040908934442,49.27283560355972,1391164351337.77,498
2019-04,20190430,20yr TBA Eligible,0.17719743402049604,0.0003274238854980111,0.0031572167974944767,0.39220187202634316,0.3919351401298278,28.008214377764393,0.23869666063292125,3.9613641006871623,49.98461575453292,1458186093861.76,533
2019-05,20190531,20yr TBA Eligible,0.25197446169968485,0.0004397521173702152,0.0039133161259360645,0.5264280891736695,0.5259461730281071,27.918805369566318,0.19800772518422755,3.9653077950330187,50.26887977505986,1333469581874.5498,511
2019-06,20190628,20yr TBA Eligible,0.5422692771028825,0.0004123906941487221,0.003953233107891431,0.493747938329947,0.4934446306018378,27.915678672506584,0.19658480396638667,3.968102610436216,51.05493859516733,1329306737821.2,524
2019-07,20190731,20yr TBA Eligible,0.58351641004205,0.0004937314361288808,0.0048664000761508225,0.5908714814507166,0.5903634255350798,28.006701486571185,0.23800816253477697,3.97351641004205,51.4368175572482,1455981684898.21,571
2019-08,20190830,20yr TBA Eligible,0.7189583978488492,0.0005290400271614298,0.00548423574193357,0.6330040561361439,0.6323935973725987,28.012661223590047,0.24072036525057572,3.9789583978488494,51.64183258332787,1464684861405.8198,590
2019-09,20190930,20yr TBA Eligible,0.7010450863297195,0.0006249573612236676,0.005863796354579998,0.7473764226773927,0.7463815449987785,27.92132405322874,0.19915394701378825,3.979378419663053,51.72104807880088,1336832403088.44,548
2019-10,20191031,20yr TBA Eligible,0.6528504516004667,0.0006675948509892063,0.006689120229792985,0.7981788501069453,0.7970309035294382,28.021777112605697,0.24486889376230597,3.9768504516004675,51.50142606804969,1478097808630.55,610
2019-11,20191129,20yr TBA Eligible,0.6327942727849072,0.000613403650429946,0.005984841110655424,0.7336061084998402,0.7327037087511381,27.865669732354018,0.17382635290273712,3.969460939451574,51.573013394712504,1264464378647.5398,506
2019-12,20191231,20yr TBA Eligible,0.6026376370262709,0.0005275843202413121,0.005457388921635067,0.631267332751595,0.6304926237490417,27.991698537225247,0.23118050557067668,3.9609709703596048,50.882409575677606,1434300711381.38,580
2020-01,20200131,20yr TBA Eligible,0.692256984467452,0.00045650651328501055,0.00469228019025676,0.5464344786687003,0.5457657254740554,27.992827068327394,0.23169408613814438,3.948256984467452,50.42071559544565,1435920278037.79,554
2020-02,20200228,20yr TBA Eligible,0.8036741659261275,0.0005343787902268444,0.004703970300086477,0.6393732008224018,0.6385445877612113,27.922037285868313,0.19947853037978625,3.938674165926127,49.63259970977077,1337786215696.6704,519
2020-03,20200331,20yr TBA Eligible,0.8486727690970928,0.0006876767731548174,0.006690013121390005,0.8220981354971846,0.8208065746566643,28.064256359585382,0.264200674453088,3.9220061024304265,50.03024567953946,1542238979966.9097,593
2020-04,20200430,20yr TBA Eligible,0.9392951388181716,0.0010235532017515364,0.010092746491695273,1.2213728156373005,1.2188036703153644,28.06871086113085,0.2662278630942827,3.9106284721515054,49.95823801294694,1549124209634.7,610
