Type_of_Security,spread,pred_logit,pred_smm,pred_cpr_pct
30yr TBA Eligible,2.191919191919192,-4.113935793708408,0.01608051476596092,17.678223207283928
30yr TBA Eligible,2.242424242424242,-4.109654808792451,0.016148388724948864,17.74634323779264
30yr TBA Eligible,2.2929292929292933,-4.105979671674837,0.016206881848415046,17.80500696683238
30yr TBA Eligible,2.3434343434343434,-4.102919281192354,0.016255749699366676,17.85398794153523
30yr TBA Eligible,2.3939393939393936,-4.10048253618179,0.016294762875858713,17.893072221068085
30yr TBA Eligible,2.4444444444444446,-4.09867833547993,0.016323708101058407,17.922059183952843
30yr TBA Eligible,2.494949494949495,-4.097515577923564,0.016342389287777506,17.940762326891544
30yr TBA Eligible,2.545454545454545,-4.097003162349477,0.01635062857164124,17.94901005291366
30yr TBA Eligible,2.595959595959596,-4.097149987594457,0.016348267306987352,17.946646446539283
30yr TBA Eligible,2.646464646464646,-4.097964952495292,0.0163351670195484,17.933532033520184
30yr TBA Eligible,2.6969696969696972,-4.099456955888768,0.016311210309962822,17.909544522571743
30yr TBA Eligible,2.7474747474747474,-4.101634896611672,0.016276301702190077,17.874579526348853
30yr TBA Eligible,2.7979797979797976,-4.104507673500792,0.016230368430972957,17.828551258746707
30yr TBA Eligible,2.8484848484848486,-4.108084185392916,0.016173361162598134,17.771393205424204
30yr TBA Eligible,2.898989898989899,-4.11237333112483,0.0161052546433541,17.70305876425865
30yr TBA Eligible,2.94949494949495,-4.117384009533321,0.016026048270277024,17.623521852246206
30yr TBA Eligible,3.0,-4.123125119455177,0.015935766579009084,17.53277747516443
15yr TBA Eligible,-2.0,-5.480702204020629,0.004149116115660244,4.866876089590266
15yr TBA Eligible,-1.9494949494949494,-5.465794542218336,0.0042111706541413324,4.937988173236485
15yr TBA Eligible,-1.898989898989899,-5.4507177527953194,0.004274869149686687,5.01093348470566
15yr TBA Eligible,-1.8484848484848484,-5.435475777622872,0.004340240730544946,5.085741403536703
15yr TBA Eligible,-1.797979797979798,-5.420072558572291,0.004407315017837048,5.1624416766577585
15yr TBA Eligible,-1.7474747474747474,-5.404512037514867,0.004476122111764057,5.241064394784722
15yr TBA Eligible,-1.696969696969697,-5.388798156321898,0.00454669257679322,5.321639967493674
15yr TBA Eligible,-1.6464646464646464,-5.372934856864675,0.004619057425764955,5.404199096910478
15yr TBA Eligible,-1.595959595959596,-5.356926081014494,0.004693248102862425,5.488772749961002
15yr TBA Eligible,-1.5454545454545454,-5.340775770642649,0.004769296465385028,5.57539212912761
15yr TBA Eligible,-1.4949494949494948,-5.324487867620435,0.004847234764266241,5.664088641655518
15yr TBA Eligible,-1.4444444444444444,-5.308066313819144,0.004927095623275926,5.754893867156364
15yr TBA Eligible,-1.393939393939394,-5.291515051110073,0.005008912016846594,5.84783952355642
15yr TBA Eligible,-1.3434343434343434,-5.274838021364514,0.005092717246462879,5.942957431338048
15yr TBA Eligible,-1.2929292929292928,-5.258039166453763,0.005178544915552998,6.040279476025001
15yr TBA Eligible,-1.2424242424242424,-5.2411224282491125,0.005266428902821067,6.139837568864004
15yr TBA Eligible,-1.191919191919192,-5.224091748621858,0.005356403333958686,6.241663605657832
15yr TBA Eligible,-1.1414141414141414,-5.206951069443294,0.005448502551674694,6.345789423704695
15yr TBA Eligible,-1.0909090909090908,-5.189704332584714,0.005542761083981771,6.452246756805935
15yr TBA Eligible,-1.0404040404040404,-5.172355479917413,0.005639213610679233,6.561067188302349
15yr TBA Eligible,-0.9898989898989898,-5.154908453312683,0.005737894927971599,6.672282102105232
15yr TBA Eligible,-0.9393939393939394,-5.137367194641822,0.005838839911163327,6.785922631690733
15yr TBA Eligible,-0.8888888888888888,-5.119735645776122,0.005942083475370963,6.902019607031196
15yr TBA Eligible,-0.8383838383838385,-5.102017748586878,0.00604766053419481,7.0206034994380495
15yr TBA Eligible,-0.7878787878787878,-5.0842174449453825,0.00615560595629372,7.141704364299583
15yr TBA Eligible,-0.7373737373737375,-5.066338676722932,0.0062659545198078224,7.265351781697671
15yr TBA Eligible,-0.6868686868686869,-5.048385385790819,0.0063787408645759585,7.391574794895139
15yr TBA Eligible,-0.6363636363636365,-5.03036151402034,0.006493999442096263,7.52040184668995
15yr TBA Eligible,-0.5858585858585859,-5.0122710032827875,0.006611764463180746,7.651860713637015
15yr TBA Eligible,-0.5353535353535355,-4.994117795449456,0.006732069843257078,7.785978438147689
15yr TBA Eligible,-0.48484848484848486,-4.975905832391639,0.006854949145273546,7.922781258480061
15yr TBA Eligible,-0.4343434343434345,-4.957639055980634,0.006980435520166261,8.062294536640502
15yr TBA Eligible,-0.38383838383838387,-4.93932140808773,0.007108561644851,8.204542684227189
15yr TBA Eligible,-0.33333333333333326,-4.920956830584227,0.0072393596577055835,8.349549086249585
15yr TBA Eligible,-0.2828282828282829,-4.902549265341415,0.0073728610915131535,8.497336022967627
