Type_of_Security,spread,curve_family,slice_name,n_obs,pred_logit,pred_smm,pred_cpr_pct
15yr TBA Eligible,2.191919191919192,duration_slice,median_duration,17,-4.88236414273867,0.007564997367703811,8.704609223777572
15yr TBA Eligible,2.242424242424242,duration_slice,median_duration,17,-4.765555059509303,0.008494259411050472,9.723865028601614
15yr TBA Eligible,2.2929292929292933,duration_slice,median_duration,17,-4.646092036223613,0.009561653979297712,10.881579736524845
15yr TBA Eligible,2.3434343434343434,duration_slice,median_duration,17,-4.523941976529195,0.01079034061538732,12.197152896655862
15yr TBA Eligible,2.3939393939393936,duration_slice,median_duration,17,-4.399071784073646,0.012207698971909512,13.692325480925483
15yr TBA Eligible,2.4444444444444446,duration_slice,median_duration,17,-4.271448362504556,0.013846134192669257,15.391236183299652
15yr TBA Eligible,2.494949494949495,duration_slice,median_duration,17,-4.141038615469526,0.015744034631355937,17.32035726306154
15yr TBA Eligible,2.545454545454545,duration_slice,median_duration,17,-4.0078094466161485,0.01794690698388928,19.508245102703512
15yr TBA Eligible,2.595959595959596,duration_slice,median_duration,17,-3.8717277595920185,0.02050871558458625,21.985018751339794
15yr TBA Eligible,2.646464646464646,duration_slice,median_duration,17,-3.732760458044734,0.023493452815041702,24.781454680480394
15yr TBA Eligible,2.6969696969696972,duration_slice,median_duration,17,-3.5908744456218846,0.026976965133803543,27.92756046200058
15yr TBA Eligible,2.7474747474747474,duration_slice,median_duration,17,-3.446036625971074,0.031049052396438705,31.45046985851353
15yr TBA Eligible,2.7979797979797976,duration_slice,median_duration,17,-3.298213902739892,0.03581584432174188,35.371497534784375
15yr TBA Eligible,2.8484848484848486,duration_slice,median_duration,17,-3.147373179575932,0.04140243350735919,39.702220810172
15yr TBA Eligible,2.898989898989899,duration_slice,median_duration,17,-2.9934813601267938,0.0479557042895191,44.439544624358525
15yr TBA Eligible,2.94949494949495,duration_slice,median_duration,17,-2.8365053480400686,0.05564723442583448,49.55988808994882
15yr TBA Eligible,3.0,duration_slice,median_duration,17,-2.6764120469633577,0.0646760540718352,55.01294226997389
20yr TBA Eligible,-2.0,duration_slice,high_duration,17,-8.8348073869794,0.00014558329656499147,0.17456008617483465
20yr TBA Eligible,-1.9494949494949494,duration_slice,high_duration,17,-8.824707825763905,0.00014706085646351807,0.1763303052064794
20yr TBA Eligible,-1.898989898989899,duration_slice,high_duration,17,-8.814786145628505,0.0001485269916789926,0.1780868082233492
20yr TBA Eligible,-1.8484848484848484,duration_slice,high_duration,17,-8.804997578562142,0.0001499877777894152,0.1798368745579906
20yr TBA Eligible,-1.797979797979798,duration_slice,high_duration,17,-8.795297356553757,0.00015144955039872042,0.18158809458382036
20yr TBA Eligible,-1.7474747474747474,duration_slice,high_duration,17,-8.785640711592292,0.00015291890430345868,0.18334836869367901
20yr TBA Eligible,-1.696969696969697,duration_slice,high_duration,17,-8.775982875666685,0.00015440269544360018,0.18512590960785802
20yr TBA Eligible,-1.6464646464646464,duration_slice,high_duration,17,-8.766279080765885,0.00015590804583973325,0.18692924825320334
20yr TBA Eligible,-1.595959595959596,duration_slice,high_duration,17,-8.756484558878826,0.00015744235172326853,0.18876724345959642
20yr TBA Eligible,-1.5454545454545454,duration_slice,high_duration,17,-8.746554541994456,0.00015901329507449235,0.19064909572937827
20yr TBA Eligible,-1.4949494949494948,duration_slice,high_duration,17,-8.736444262101712,0.00016062885879583223,0.1925843653507799
20yr TBA Eligible,-1.4444444444444444,duration_slice,high_duration,17,-8.726108951189538,0.00016229734576488886,0.1945829951469433
20yr TBA Eligible,-1.393939393939394,duration_slice,high_duration,17,-8.715503841246871,0.00016402740203411872,0.19665533817748387
20yr TBA Eligible,-1.3434343434343434,duration_slice,high_duration,17,-8.704584164262661,0.00016582804447198534,0.19881219074439005
20yr TBA Eligible,-1.2929292929292928,duration_slice,high_duration,17,-8.693305152225843,0.0001677086931745321,0.2010648310931314
20yr TBA Eligible,-1.2424242424242424,duration_slice,high_duration,17,-8.681622037125361,0.0001696792090172583,0.20342506424929171
20yr TBA Eligible,-1.191919191919192,duration_slice,high_duration,17,-8.669490050950156,0.00017174993676568345,0.2059052734882448
20yr TBA Eligible,-1.1414141414141414,duration_slice,high_duration,17,-8.65686442568917,0.000173931754219897,0.2085184790032926
20yr TBA Eligible,-1.0909090909090908,duration_slice,high_duration,17,-8.643700393331343,0.00017623612793473127,0.21127840441560267
20yr TBA Eligible,-1.0404040404040404,duration_slice,high_duration,17,-8.629953185865618,0.00017867517613412567,0.21419955186162556
20yr TBA Eligible,-0.9898989898989898,duration_slice,high_duration,17,-8.615578035280938,0.0001812617395271772,0.21729728649831784
20yr TBA Eligible,-0.9393939393939394,duration_slice,high_duration,17,-8.600530173566241,0.00018400946083589113,0.22058793138787683
20yr TBA Eligible,-0.8888888888888888,duration_slice,high_duration,17,-8.584764832710475,0.00018693287396268936,0.22408887386421047
20yr TBA Eligible,-0.8383838383838385,duration_slice,high_duration,17,-8.568237244702571,0.00019004750386153956,0.22781868464313815
20yr TBA Eligible,-0.7878787878787878,duration_slice,high_duration,17,-8.550902641531481,0.00019336997833277133,0.23179725112430527
20yr TBA Eligible,-0.7373737373737375,duration_slice,high_duration,17,-8.532716255186143,0.0001969181531413866,0.23604592654338036
20yr TBA Eligible,-0.6868686868686869,duration_slice,high_duration,17,-8.513633317655495,0.00020071125206556594,0.24058769687991124
20yr TBA Eligible,-0.6363636363636365,duration_slice,high_duration,17,-8.493609060928483,0.00020477002372050557,0.24544736770494488
20yr TBA Eligible,-0.5858585858585859,duration_slice,high_duration,17,-8.472598716994048,0.00020911691727771447,0.25065177347926015
20yr TBA Eligible,-0.5353535353535355,duration_slice,high_duration,17,-8.450557517841132,0.00021377627951752915,0.25623001218528657
20yr TBA Eligible,-0.48484848484848486,duration_slice,high_duration,17,-8.427440695458673,0.00021877457601990902,0.2622137086091335
20yr TBA Eligible,-0.4343434343434345,duration_slice,high_duration,17,-8.403203481835616,0.000224140639724003,0.26863731008896596
20yr TBA Eligible,-0.38383838383838387,duration_slice,high_duration,17,-8.3778011089609,0.00022990595058040397,0.2755384191254128
